yr,day
1901,5
1902,6
1903,6
1904,5
1905,5
1906,6
1907,6
1908,5
1909,5
1910,6
1911,6
1912,5
1913,5
1914,5
1915,6
1916,5
1917,5
1918,5
1919,6
1920,5
1921,5
1922,5
1923,6
1924,5
1925,5
1926,5
1927,6
1928,5
1929,5
1930,5
1931,6
1932,5
1933,5
1934,5
1935,6
1936,5
1937,5
1938,5
1939,6
1940,5
1941,5
1942,5
1943,6
1944,5
1945,5
1946,5
1947,5
1948,5
1949,5
1950,5
1951,5
1952,5
1953,5
1954,5
1955,5
1956,5
1957,5
1958,5
1959,5
1960,5
1961,5
1962,5
1963,5
1964,5
1965,5
1966,5
1967,5
1968,5
1969,5
1970,5
1971,5
1972,5
1973,5
1974,5
1975,5
1976,4
1977,5
1978,5
1979,5
1980,4
1981,5
1982,5
1983,5
1984,4
1985,5
1986,5
1987,5
1988,4
1989,5
1990,5
1991,5
1992,4
1993,5
1994,5
1995,5
1996,4
1997,5
1998,5
1999,5
2000,4
2001,5
2002,5
2003,5
2004,4
2005,5
2006,5
2007,5
2008,4
2009,4
2010,5
2011,5
2012,4
2013,4
2014,5
2015,5
2016,4
2017,4
2018,5
2019,5
2020,4
2021,4
2022,5
2023,5
2024,4
2025,4
2026,5
2027,5
2028,4
2029,4
2030,5
2031,5
2032,4
2033,4
2034,5
2035,5
2036,4
2037,4
2038,5
2039,5
2040,4
2041,4
2042,4
2043,5
2044,4
2045,4
2046,4
2047,5
2048,4
2049,5
2050,4
2051,5
2052,4
2053,4
2054,4
2055,5
2056,4
2057,4
2058,4
2059,5
2060,4
2061,4
2062,4
2063,5
2064,4
2065,4
2066,4
2067,5
2068,4
2069,4
2070,4
2071,5
2072,4
2073,4
2074,4
2075,4
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,4
2083,4
2084,4
2085,4
2086,4
2087,4
2088,4
2089,4
2090,4
2091,4
2092,4
2093,4
2094,4
2095,4
2096,4
2097,4
2098,4
2099,4
2100,5
